country_std,indicator_name,sex,age_group,age_categories,Year,Unemployment,GDP
Afghanistan,Unemployment rate by sex and age,Female,15-24,Youth,2020,21.228,20136.0
Afghanistan,Unemployment rate by sex and age,Female,25+,Adults,2020,14.079,20136.0
Afghanistan,Unemployment rate by sex and age,Female,Under 15,Children,2020,16.783,20136.0
Afghanistan,Unemployment rate by sex and age,Male,15-24,Youth,2020,14.452,20136.0
Afghanistan,Unemployment rate by sex and age,Male,25+,Adults,2020,8.732,20136.0
Afghanistan,Unemployment rate by sex and age,Male,Under 15,Children,2020,10.458,20136.0
Albania,Unemployment rate by sex and age,Female,15-24,Youth,2020,29.766,15271.0
Albania,Unemployment rate by sex and age,Female,25+,Adults,2020,10.743,15271.0
Albania,Unemployment rate by sex and age,Female,Under 15,Children,2020,12.536,15271.0
Albania,Unemployment rate by sex and age,Male,15-24,Youth,2020,31.426,15271.0
Albania,Unemployment rate by sex and age,Male,25+,Adults,2020,10.826,15271.0
Albania,Unemployment rate by sex and age,Male,Under 15,Children,2020,13.065,15271.0
Algeria,Unemployment rate by sex and age,Female,15-24,Youth,2020,52.886,164774.0
Algeria,Unemployment rate by sex and age,Female,25+,Adults,2020,20.163,164774.0
Algeria,Unemployment rate by sex and age,Female,Under 15,Children,2020,23.536,164774.0
Algeria,Unemployment rate by sex and age,Male,15-24,Youth,2020,31.682,164774.0
Algeria,Unemployment rate by sex and age,Male,25+,Adults,2020,9.19,164774.0
Algeria,Unemployment rate by sex and age,Male,Under 15,Children,2020,11.773,164774.0
Angola,Unemployment rate by sex and age,Female,15-24,Youth,2020,30.112,66521.0
Angola,Unemployment rate by sex and age,Female,25+,Adults,2020,12.206,66521.0
Angola,Unemployment rate by sex and age,Female,Under 15,Children,2020,16.601,66521.0
Angola,Unemployment rate by sex and age,Male,15-24,Youth,2020,34.835,66521.0
Angola,Unemployment rate by sex and age,Male,25+,Adults,2020,10.801,66521.0
Angola,Unemployment rate by sex and age,Male,Under 15,Children,2020,16.796,66521.0
Argentina,Unemployment rate by sex and age,Female,15-24,Youth,2020,34.984,385218.0
Argentina,Unemployment rate by sex and age,Female,25+,Adults,2020,9.424,385218.0
Argentina,Unemployment rate by sex and age,Female,Under 15,Children,2020,12.39,385218.0
Argentina,Unemployment rate by sex and age,Male,15-24,Youth,2020,27.217,385218.0
Argentina,Unemployment rate by sex and age,Male,25+,Adults,2020,8.48,385218.0
Argentina,Unemployment rate by sex and age,Male,Under 15,Children,2020,10.776,385218.0
Armenia,Unemployment rate by sex and age,Female,15-24,Youth,2020,21.991,12642.0
Armenia,Unemployment rate by sex and age,Female,25+,Adults,2020,8.567,12642.0
Armenia,Unemployment rate by sex and age,Female,Under 15,Children,2020,9.633,12642.0
Armenia,Unemployment rate by sex and age,Male,15-24,Youth,2020,25.284,12642.0
Armenia,Unemployment rate by sex and age,Male,25+,Adults,2020,13.839,12642.0
Armenia,Unemployment rate by sex and age,Male,Under 15,Children,2020,15.022,12642.0
Australia,Unemployment rate by sex and age,Female,15-24,Youth,2020,13.122,1362613.0
Australia,Unemployment rate by sex and age,Female,25+,Adults,2020,5.036,1362613.0
Australia,Unemployment rate by sex and age,Female,Under 15,Children,2020,6.354,1362613.0
Australia,Unemployment rate by sex and age,Male,15-24,Youth,2020,15.244,1362613.0
Australia,Unemployment rate by sex and age,Male,25+,Adults,2020,5.014,1362613.0
Australia,Unemployment rate by sex and age,Male,Under 15,Children,2020,6.554,1362613.0
Austria,Unemployment rate by sex and age,Female,15-24,Youth,2020,9.082,434050.0
Austria,Unemployment rate by sex and age,Female,25+,Adults,2020,4.505,434050.0
Austria,Unemployment rate by sex and age,Female,Under 15,Children,2020,5.02,434050.0
Austria,Unemployment rate by sex and age,Male,15-24,Youth,2020,11.416,434050.0
Austria,Unemployment rate by sex and age,Male,25+,Adults,2020,4.58,434050.0
Austria,Unemployment rate by sex and age,Male,Under 15,Children,2020,5.36,434050.0
Azerbaijan,Unemployment rate by sex and age,Female,15-24,Youth,2020,17.692,42693.0
Azerbaijan,Unemployment rate by sex and age,Female,25+,Adults,2020,7.184,42693.0
Azerbaijan,Unemployment rate by sex and age,Female,Under 15,Children,2020,8.394,42693.0
Azerbaijan,Unemployment rate by sex and age,Male,15-24,Youth,2020,12.808,42693.0
Azerbaijan,Unemployment rate by sex and age,Male,25+,Adults,2020,5.121,42693.0
Azerbaijan,Unemployment rate by sex and age,Male,Under 15,Children,2020,6.097,42693.0
Bahamas,Unemployment rate by sex and age,Female,15-24,Youth,2020,33.785,9958.0
Bahamas,Unemployment rate by sex and age,Female,25+,Adults,2020,9.339,9958.0
Bahamas,Unemployment rate by sex and age,Female,Under 15,Children,2020,12.205,9958.0
Bahamas,Unemployment rate by sex and age,Male,15-24,Youth,2020,27.518,9958.0
Bahamas,Unemployment rate by sex and age,Male,25+,Adults,2020,9.942,9958.0
Bahamas,Unemployment rate by sex and age,Male,Under 15,Children,2020,12.893,9958.0
Bahrain,Unemployment rate by sex and age,Female,15-24,Youth,2020,15.703,35838.0
Bahrain,Unemployment rate by sex and age,Female,25+,Adults,2020,3.789,35838.0
Bahrain,Unemployment rate by sex and age,Female,Under 15,Children,2020,5.171,35838.0
Bahrain,Unemployment rate by sex and age,Male,15-24,Youth,2020,2.868,35838.0
Bahrain,Unemployment rate by sex and age,Male,25+,Adults,2020,0.706,35838.0
Bahrain,Unemployment rate by sex and age,Male,Under 15,Children,2020,0.874,35838.0
